I(A),Fluxo
0,0
2,0.0008316768174477286
4,0.001848298493818407
6,0.002926805173859555
8,0.003997160751184272
10,0.005055017889462813
12,0.006104970510848712
14,0.007149627181430796
16,0.008183941148181608
18,0.009193134699476564
20,0.01016621553378372
